到餐客户ID,门店ID,门店名称,门店分层,大区,区域,代理城市,签约私海BD,c2是否签约,外卖客户ID,BD是否有搜索权限,平台客户ID
51629143,1293514021,可可蜜里糖水铺（大冶吾悦店）,下沉城市商家,南部大区,湖北区域,大冶市,汪婷婷,0,23166918,1,1114421414
52640996,1484370341,玖咖咖啡馆,下沉城市商家,南部大区,云南区域,瑞丽,李秋萍,1,24332547,1,1144701454
52315442,500187076,久味香麻辣烫（雪晶路店）,下沉城市商家,北部大区,甘青新区域,临泽县,赵梦婷,0,23880348,1,1117693223
48018735,1958731533,围炉三国锅盔（宁河吾悦店）,下沉城市商家,特区,京津冀区域,宁河县,韩文博,0,25555065,0,1067764235
47499988,4674939,百事吉蛋糕（南街店）,下沉城市商家,南部大区,湖北区域,黄梅县,黎仲,0,,1,1065303831
40296641,134775556,养蓉饭店（东林大佛店）,下沉城市商家,南部大区,江西区域,星子,于丽娟,0,23063920,1,1003753734
54253268,1012063090872058,锅色添香,下沉城市商家,特区,京津冀区域,宁河县,刘蕊,0,28127746,1,1173902352
49867906,615907500,味掌柜（葛洪大道店）,下沉CKA品牌门店,南部大区,湖北区域,鄂州,李炎龙,0,,1,1095367416
53962284,1028354544983636,美恋榴莲芝士饼,下沉城市商家,南部大区,江西区域,高安市,陈俊慧,1,,1,1171822780
53714471,841373402,金元宝·东北水饺,下沉城市商家,南部大区,湖北区域,大冶市,张雷鸣,0,27278567,1,1166458071
51392675,6645512,永定区一洲美食,下沉城市商家,南部大区,福建区域,永定区,余美珠,0,,1,1113700662
50832629,890841819,土家葱肉饼（陈咀老街店）,下沉城市商家,北部大区,安徽区域,怀宁县,黄阳,0,22903726,1,1106230528
51540642,1095239478,零食顽家鄂州葛店开发区店,下沉城市商家,南部大区,湖北区域,鄂州,李炎龙,0,23198730,1,1113320567
51042553,1741771804,北京片皮烤鸭(南京盐水鸭),下沉城市商家,南部大区,湖北区域,大冶市,黄雨萱,0,,1,1109110955
53183225,1454405235,鲜小煲砂锅菜（冶商美食城店）,下沉城市商家,南部大区,湖北区域,大冶市,黄雨萱,1,25035313,1,1155781193
49764528,5659498,蛋糕王（西湖路店）,下沉城市商家,南部大区,湖北区域,天门,田静媛,0,23144781,0,1096014042
51787299,100120340,钱家小院土菜坊,下沉城市商家,南部大区,湖北区域,黄梅县,王燕,0,,1,1116503990
42262492,163903606,夜生活烧吧,下沉城市商家,南部大区,云南区域,景东彝族自治县,唐丽,0,,1,1005941480
53948177,1023638032836477,喜粥坊,下沉城市商家,北部大区,安徽区域,怀宁县,汪祥,1,,1,1169901412
51924617,1868778220,兰州拉面（葛店新城店）,下沉城市商家,南部大区,湖北区域,鄂州,李书才,0,26548143,1,1116372779
52670437,1264992855,霸王烧烤,下沉城市商家,南部大区,湖北区域,天门,田静媛,1,24375327,1,1145253976
50553014,1557378494,俏九九干锅蛙蛙虾（大悟县店）,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,,1,1100190913
53331430,1833500366,庭子麻麻·CHILL糖,下沉城市商家,南部大区,湖南区域,澧县,汪春久,0,,1,1156834604
47954659,603319628,梨弎岁炭火烤肉（庐山店）,下沉城市商家,南部大区,江西区域,星子,郝志鹏,0,23080142,1,1067697000
51742066,40645564,拉面馆（景东店）,下沉城市商家,南部大区,云南区域,景东彝族自治县,唐丽,0,,1,1115700008
53495210,1090972088,糖糖家酸奶研究所,下沉城市商家,特区,京津冀区域,宁河县,韩文博,1,26914254,1,1158927747
53495821,1870381440,中国烤鸭王,下沉城市商家,南部大区,湖南区域,澧县,汪春久,0,26915130,1,1158528038
51547118,1871393624,榴喜3+7市集铺子（慈利店）,下沉城市商家,南部大区,湖南区域,慈利县,叶懋,1,,0,1113172480
53087822,1024242072,好吃鸭鲜卤,下沉城市商家,南部大区,云南区域,镇雄县,岳瑶,0,,1,1151329098
50817048,1021615521,柒点蛋糕（五祖店）,下沉城市商家,南部大区,湖北区域,黄梅县,黎仲,1,,1,1101781729
874827,1026635150942777,岭鲜华林土菜（三小店）,下沉城市商家,南部大区,江西区域,高安市,陈俊慧,0,,1,1000838827
54116354,1028783553460251,摸鱼麻辣烫,下沉城市商家,南部大区,湖北区域,天门,易清阳,0,27930765,1,1170030028
54336586,1022774113519715,溜哥烧鸡皇,下沉城市商家,南部大区,江西区域,高安市,陈俊兰,0,28255823,1,1177061351
51291090,775298470,杨小幺擂椒拌饭,下沉城市商家,南部大区,云南区域,嵩明县,张艳松,0,,1,1111600625
51754335,1528174706,八点半烧烤（通城店）,下沉城市商家,南部大区,湖北区域,通城,李隽,0,23040790,1,1113849971
52233548,1169741141,李小贰摊摊鹅,下沉城市商家,南部大区,云南区域,嵩明县,徐福樑,0,26389718,1,1117882557
